"";"num";"object";"Pb206_Pb204";"Pb207_Pb204";"Pb208_Pb204";"color.object";"symbol";"Pb206_Pb204.perc";"Pb207_Pb204.perc";"Pb208_Pb204.perc"
"438";"Montinho";"Iberian Peninsula";18,19;15,61;38,136;"#FFA500";"triangle";25,29;21,7;53,01
"439";"Neves Orebody (312m)";"Iberian Peninsula";18,248;15,66;38,322;"#FFA500";"triangle";25,26;21,68;53,06
"440";"Neves Orebody (312m)";"Iberian Peninsula";18,246;15,651;38,357;"#FFA500";"triangle";25,25;21,66;53,09
"441";"Neves Orebody (320m)";"Iberian Peninsula";18,232;15,656;38,34;"#FFA500";"triangle";25,24;21,68;53,08
"442";"Neves Orebody (328m)";"Iberian Peninsula";18,222;15,659;38,347;"#FFA500";"triangle";25,23;21,68;53,09
"443";"Neves Orebody (334m)";"Iberian Peninsula";18,233;15,664;38,354;"#FFA500";"triangle";25,24;21,68;53,08
"444";"Neves Orebody (336m)";"Iberian Peninsula";18,219;15,648;38,294;"#FFA500";"triangle";25,25;21,68;53,07
"445";"Neves Orebody (348m)";"Iberian Peninsula";18,232;15,66;38,34;"#FFA500";"triangle";25,24;21,68;53,08
"446";"Neves Orebody (348m)";"Iberian Peninsula";18,218;15,651;38,32;"#FFA500";"triangle";25,24;21,68;53,08
"447";"Neves Orebody (349m)";"Iberian Peninsula";18,205;15,635;38,259;"#FFA500";"triangle";25,25;21,69;53,06
"448";"Neves Orebody (354m)";"Iberian Peninsula";18,201;15,631;38,256;"#FFA500";"triangle";25,25;21,68;53,07
"449";"Pena de Hierro";"Iberian Peninsula";18,18;15,605;38,079;"#FFA500";"triangle";25,3;21,71;52,99
"450";"Rio Tinto";"Iberian Peninsula";18,2542;15,65206379;38,35116149;"#FFA500";"triangle";25,26;21,66;53,08
"451";"Rio Tinto";"Iberian Peninsula";18,2151;15,647499504;38,305080243;"#FFA500";"triangle";25,24;21,68;53,08
"452";"Rio Tinto";"Iberian Peninsula";18,1723;15,625088709;38,201445614;"#FFA500";"triangle";25,24;21,7;53,06
"453";"Rio Tinto";"Iberian Peninsula";18,2051;15,646919348;38,2671202;"#FFA500";"triangle";25,24;21,7;53,06
"454";"Rio Tinto";"Iberian Peninsula";18,1971;15,654601188;38,291429646;"#FFA500";"triangle";25,22;21,7;53,08
"455";"Rio Tinto";"Iberian Peninsula";18,1958;15,634377234;38,22300727;"#FFA500";"triangle";25,25;21,7;53,05
"456";"Rio Tinto";"Iberian Peninsula";18,1857;15,639702;38,254711092;"#FFA500";"triangle";25,23;21,7;53,07
"457";"Rio Tinto";"Iberian Peninsula";18,1977;15,640559196;38,246470044;"#FFA500";"triangle";25,24;21,7;53,06
"458";"Rio Tinto";"Iberian Peninsula";18,1971;15,640043508;38,245572954;"#FFA500";"triangle";25,24;21,7;53,06
"459";"Rio Tinto";"Iberian Peninsula";18,1883;15,629024307;38,20634298;"#FFA500";"triangle";25,25;21,7;53,05
